Column 5,Column 6
koshimizu_sachiko,idolmaster_cinderella_girls
shiro_(dennou_shoujo_youtuber_shiro),dennou_shoujo_youtuber_shiro
multi,to_heart
al_azif,demonbane
aihara_enju,black_bullet
houjou_satoko,higurashi_no_naku_koro_ni
jaguar_(kemono_friends),kemono_friends
narwhal_(kemono_friends),kemono_friends
small-clawed_otter_(kemono_friends),kemono_friends
gentoo_penguin_(kemono_friends),kemono_friends
japanese_crested_ibis_(kemono_friends),kemono_friends
moose_(kemono_friends),kemono_friends
black-tailed_prairie_dog_(kemono_friends),kemono_friends
aardwolf_(kemono_friends),kemono_friends
shoebill_(kemono_friends),kemono_friends
narusawa_ryouka,occultic;nine
estelle_bright,sora_no_kiseki
star_sapphire,touhou
lisa_(ponyo),studio_ghibli
higurashi_kagome,inuyasha
tio_plato,zero_no_kiseki
sekibanki,touhou
makise_kurisu,steins;gate
tatsuta_(kantai_collection),kantai_collection
kaku_seiga,touhou
darkness_(konosuba),kono_subarashii_sekai_ni_shukufuku_wo!
hoshiguma_yuugi,touhou
hiyajou_maho,steins;gate_0
katua,fire_emblem_echoes:_mou_hitori_no_eiyuuou
alisa_reinford,sen_no_kiseki
graf_zeppelin_(azur_lane),azur_lane
toyosatomimi_no_miko,touhou
wayu_(fire_emblem),fire_emblem:_souen_no_kiseki
zero_two_(darling_in_the_franxx),darling_in_the_franxx
horikawa_raiko,touhou
kagura_(gintama),gintama
jack-o'_valentine,guilty_gear_xrd
quetzalcoatl_(maidragon),kobayashi-san_chi_no_maidragon
charlotte_(fire_emblem_if),fire_emblem_if
admiral_graf_spee_(azur_lane),azur_lane
samus_aran,super_smash_bros.
gumi,vocaloid
kousaka_honoka,love_live!_school_idol_project
honda_mio,idolmaster_cinderella_girls
suzuya_(kantai_collection),kantai_collection
oikawa_shizuku,idolmaster_cinderella_girls
stephanie_dora,no_game_no_life
maekawa_miku,idolmaster_cinderella_girls
female_gunner_(dungeon_and_fighter),dungeon_and_fighter
ayukawa_madoka,kimagure_orange_road
minato_aqua,hololive
sonoda_umi,love_live!_school_idol_project
miyao_miya,idolmaster_million_live!
emily_stock,original
atago_(kantai_collection),kantai_collection
akagi_towa,precure
michishio_(kantai_collection),kantai_collection
isokaze_(kantai_collection),kantai_collection
futaba_anzu,idolmaster_cinderella_girls
hishikawa_rikka,precure
aqua_(fire_emblem_if),fire_emblem_if
morgiana,magi_the_labyrinth_of_magic
satsuki_(kantai_collection),kantai_collection
kubiwa_(kutan),original
latifa_fleuranza,amagi_brilliant_park
zuikaku_(kantai_collection),kantai_collection
usami_taiga,original
usuta_sumire,tokyo_7th_sisters
yuzuriha_inori,guilty_crown
nakano_yuka,idolmaster_cinderella_girls
fenrir_(shingeki_no_bahamut),shingeki_no_bahamut
ichihara_nina,idolmaster_cinderella_girls
tsukumo_yatsuhashi,touhou
luna_child,touhou
monika_(doki_doki_literature_club),doki_doki_literature_club
sylvie_(dorei_to_no_seikatsu),dorei_to_no_seikatsu_~teaching_feeling~
sayori_(doki_doki_literature_club),doki_doki_literature_club
natsu_megumi,gochuumon_wa_usagi_desu_ka?
hayasaka_mirei,idolmaster_cinderella_girls
velvet_crowe,tales_of_berseria
takafuji_kako,idolmaster_cinderella_girls
kaguya_luna_(character),kaguya_luna
abe_nana,idolmaster_cinderella_girls
aki_shizuha,touhou
forte_(shingeki_no_bahamut),shingeki_no_bahamut
kisume,touhou
m16a1_(girls_frontline),girls_frontline
tateyama_ayano,kagerou_project
fuu-chan_(fujiwara_gacho),original
sand_cat_(kemono_friends),kemono_friends
natsuki_(doki_doki_literature_club),doki_doki_literature_club
tsana_(lansane),original
kirin_(armor),monster_hunter
kaban_(kemono_friends),kemono_friends
stella_unibell,soul_worker
kotonoha_akane,voiceroid
sakuma_mayu,idolmaster_cinderella_girls
quetzalcoatl_(fate/grand_order),fate_(series)
layla_(idolmaster),idolmaster_cinderella_girls
tamaki_ako,netoge_no_yome_wa_onna_no_ko_janai_to_omotta?
bowsette,new_super_mario_bros._u_deluxe
lillie_(pokemon),pokemon_sm
morikubo_nono,idolmaster_cinderella_girls
arulumaya,granblue_fantasy
mimura_kanako,idolmaster_cinderella_girls
miia_(monster_musume),monster_musume_no_iru_nichijou
mitsumine_mashiro,mikakunin_de_shinkoukei
miku_(darling_in_the_franxx),darling_in_the_franxx
miyuki_(kantai_collection),kantai_collection
fal_(girls_frontline),girls_frontline
nora_cat,nora_cat_channel
miqo'te,final_fantasy_xiv
shirase_sakuya,idolmaster_shiny_colors
shimada_arisu,girls_und_panzer
brown_haired_glasses_elf_(houtengeki),original
minakami_mai,nichijou
elpeo_puru,gundam_zz
toshinou_kyouko,yuru_yuri
roll,rockman_(classic)
kasugano_sakura,street_fighter
aino_minako,bishoujo_senshi_sailor_moon
linkle,zelda_musou
takao_(kantai_collection),kantai_collection
ia_(vocaloid),vocaloid
itoshiki_rin,sayonara_zetsubou_sensei
lucina,fire_emblem_cipher
homura_(xenoblade_2),xenoblade_2
hatsushimo_(kantai_collection),kantai_collection
maru-yu_(kantai_collection),kantai_collection
tanikaze_(kantai_collection),kantai_collection
sinon,sword_art_online
chitose_(kantai_collection),kantai_collection
maikaze_(kantai_collection),kantai_collection
kiso_(kantai_collection),kantai_collection
uzuki_(kantai_collection),kantai_collection
yamato_(kantai_collection),kantai_collection
mutsu_(kantai_collection),kantai_collection
ryuujou_(kantai_collection),kantai_collection
mogami_(kantai_collection),kantai_collection
sendai_(kantai_collection),kantai_collection
hayasui_(kantai_collection),kantai_collection
makigumo_(kantai_collection),kantai_collection
tomoe_gozen_(fate/grand_order),fate_(series)
mikazuki_(kantai_collection),kantai_collection
fumizuki_(kantai_collection),kantai_collection
murasame_(kantai_collection),kantai_collection
teruzuki_(kantai_collection),kantai_collection
platelet_(hataraku_saibou),hataraku_saibou
harusame_(kantai_collection),kantai_collection
mochizuki_(kantai_collection),kantai_collection
hatsuyuki_(kantai_collection),kantai_collection
rosehip,girls_und_panzer
uraraka_ochako,boku_no_hero_academia
hibiki_(kantai_collection),kantai_collection
nowaki_(kantai_collection),kantai_collection
five-seven_(girls_frontline),girls_frontline
g41_(girls_frontline),girls_frontline
yamakaze_(kantai_collection),kantai_collection
okinami_(kantai_collection),kantai_collection
inazuma_(kantai_collection),kantai_collection
m14_(girls_frontline),girls_frontline
roma_(kantai_collection),kantai_collection
maya_(kantai_collection),kantai_collection
i-8_(kantai_collection),kantai_collection
naganami_(kantai_collection),kantai_collection
amagiri_(kantai_collection),kantai_collection
shikinami_(kantai_collection),kantai_collection
katsuragi_(kantai_collection),kantai_collection
asakaze_(kantai_collection),kantai_collection
anna_(sennen_sensou_aigis),sennen_sensou_aigis
akatsuki_(kantai_collection),kantai_collection
akebono_(kantai_collection),kantai_collection
akagi_(azur_lane),azur_lane
ooi_(kantai_collection),kantai_collection
pola_(kantai_collection),kantai_collection
kashima_(kantai_collection),kantai_collection
taihou_(azur_lane),azur_lane
rororina_fryxell,atelier_totori
natsume_(pokemon),pokemon_lgpe
abigail_williams_(fate/grand_order),fate_(series)
enkidu_(fate/strange_fake),fate_(series)
bridget_(guilty_gear),guilty_gear
yuzuki_yukari,voiceroid
neptune_(neptune_series),neptune_(series)
mioda_ibuki,super_danganronpa_2
kasumi_(doa),dead_or_alive
semiramis_(fate),fate_(series)
akamatsu_kaede,new_danganronpa_v3
astolfo_(fate),fate_(series)
raspberyl,makai_senki_disgaea_3
sora_ginko,ryuuou_no_oshigoto!
alice_(wonderland),alice:_madness_returns
marie_rose,dead_or_alive_5
compa,neptune_(series)
black_heart,neptune_(series)
marie_antoinette_(fate/grand_order),fate_(series)
kiyohime_(fate/grand_order),fate_(series)
hassan_of_serenity_(fate),fate_(series)
okazaki_ushio,clannad
iori_rinko,gundam_build_fighters
miyamori_aoi,shirobako
satsuki_rin,touhou
miyazaki_nodoka,mahou_sensei_negima!
shidou_mariya,maria_holic
hime_(kaibutsu_oujo),kaibutsu_oujo
anya_alstreim,code_geass
lelouch_lamperouge,code_geass
marina_ismail,gundam_00
kujikawa_rise,persona_4
hanamura_yousuke,persona_4
tieria_erde,gundam_00
amamiya_yuuko,ef
judith,tales_of_vesperia
tenjou_utena,shoujo_kakumei_utena
euphemia_li_britannia,code_geass
cornelia_li_britannia,code_geass
sumeragi_kaguya,code_geass:_lost_colors
yuna_(ff10),final_fantasy_x-2
arin,pangya
celes_chere,final_fantasy_vi
yuasa_hiromi,true_tears
yuri_lowell,tales_of_vesperia
jougasaki_rika,idolmaster_cinderella_girls
mary_cochran,idolmaster_cinderella_girls
kirishima_(kantai_collection),kantai_collection
shirayuri_sakura,kanpani_girls
sakura_kyouko,mahou_shoujo_madoka_magica
aozaki_touko,kara_no_kyoukai
